,EWE,ENGLISH
42,"Le ŋdi kpadzi, wo wɔna gbɔ lɔlɔ si me wo dzina nublanui hawo le, eye hafi woawɔ misa la, wo wɔna kɔnuaɖe si wo yɔna be « ame dede aɖakame ».
","In Saturday morning, generally women walk on the road close to the place of funerals singing pity songs to call the dead person spirit out of the Village or the neighborhood, and before the last Mass of the presence of dead body, they have another ceremony named « ame dede aɖakame » which means ""put in the coffin ""."
43,"Kɔnua vayina ale: eku ƒomea kple Mawununɔla nenye be ameyinugbea nye Kristotɔ, alo eku ƒomea kple vodununɔla nenyebe ameyinugbea nye vodusi, yina ŋtilã kukula gbɔ le hɔme he denɛ aɖakame kple enya ƒoɖo aɖeo.
","It happen as follow, the dead family and Priest if the dead person believes in God and the representative of fetish if the dead person belong to fetish group, go to the dead body and put the body in the coffin with some specific traditional words from the dead family and the representative of the fetish group (It depend and it done according to the kind of the death)."
44,"Emegbe la wo wɔna misa alo vodu kɔnuwo he nana yayra mamlɛa ameyinugbea.
",After then they will observe with the people Mass or fetish ceremonies for the last benediction of the dead person.
45,"Le emawo yome la, wo dzena mɔ yina ɖe ameɖibɔme afisi wo wɔna konu mamlɛtɔwo le he tsɔna aɖakala dena do me le.
","At the last moment, they will bring the coffin with the dead person to the cemetery where they pray and make the burial ceremonies."
46,"Ne wo gbɔ tso ameɖiƒe vɔla, wo wɔna akpedada wɔna vovovowo, eye emegbe la amedzrowo xɔxɔ ƒe wɔnawo va yi na edzi kple eʋu ƒoƒo wɔna geɖewo.
","The third day which is Sunday, they have generally Mass for the dead person, and in evening, the dead family distribute drinks for everybody that help during the funerals; chief and people that act during ceremonies."
47,"Le kɔsiɖa si nye ŋkeke etɔlia le etsɔ wɔwɔ ƒe wɔnawo me la, wo wɔna misa ɖe ameyinugbea ta, eye le fiɛyi mela, wo wɔa aha mama ƒe kɔnuwo he dana akpe na amesiame si kpede eku ƒomea ŋti le wɔna vovovoa wome.
","We have to mention that funerals ceremonies make a lot of spending on the expense of the dead family, and often the dead family borrow money to cover the spending to show how wealthy is the family."
48,"Elebe miaɖo ŋku edzi hã be, etsɔ kɔnu siawo wɔwɔ nyena ega zãzã geɖe ɖe nɔna eku ƒomea dzi, eye edzi edzi la ameyinugbe ƒomewo dona ga asɔ wɔ tsoɛ bene woateŋ ahɔ kɔkɔ le wo havio gbɔ.
","It is a king of competition between families to show their capacity (It doesn’t make sense, but is how it works in Ewe ethnical groups)."
49,"Etsɔ wɔwɔ nye enu hɔasiaɖe le Eʋe dukɔwo ƒe kɔta kɔnu wɔwɔwome.
",The funeral ceremonies are very important ones among Ewe community’s ceremonies.
50,"Enyena eyiyi sime eku ƒomea ƒonaƒu nɔna ɖeka wɔwɔme kpakple ameyinugbea bena Mawu gã si tso dziƒo la nateŋ akpɔ neneŋ ƒe ameyinugbea ƒe nublanui, eye waoteŋ a hɔɛ ɖe fafaƒe.
","It is a time when the whole family stands together to be in relation with the dead person, and pray for God who comes from heaven to take pity on him, and receive him in peace."
51,"Esrɔ ɖeɖe le Eʋeawo ƒe dekɔnu wonu.
",Marriage according to Eʋe tradition.
52,"Le dekɔnua wonu le eʋe dukɔ me la, esrɔɖeɖe nye enu xɔasiaɖe si amewo kãtã tɔna tekpɔ le esime evi nyɔnu lo alo evi ŋtsu ɖo eƒe si dze na esrɔɖeɖe kɔnuwo wɔwɔ.
","According to the tradition of Eʋe population, marriage is an important tradition event that young men and women likely wait for when the rich the age that allow them to participate in this ceremony."
53,"Le blema kɔnuwo nula, esrɔɖelawo me nyana wonoɛ wo o vaseɖe esime woɖea wonɔɛ wo o.
","With respect to ancient time ceremonies, the lovers do not have to know each other before taking marriage."
54,"Aleke kɔnuawo va yina enye esi ; ɖevi ŋtsuvila ƒe ƒomea dzina nyɔnuvi si woaɖe la nɛ eye wo dena gbɔme zi etɔ eye emegbe la wo wɔna esrɔ ɖeɖe ƒe kɔnuwo.
","The ceremony goes as follow; the family of the boy will find for him his lover and the family will try to make the family of the girl agree, and this takes few days or month, it depends on each family how the appreciate the offer."
55,"Aleke wo dea gbɔme ɖoe !ne miagblɛ kpuiɖe ko la, gbɔme dede gɔme enye be woa biata ne nyɔnuvi si ɖegbe ƒomea gbɔna la ne wo ƒe vi ŋtsuvi la.
",The family of the boy has to go to the family of the girl three times according to the tradition to fulfill the marriage ceremony. How it works!
56,"Zi alesi miegblɔɛ vayi la, gbɔme dede nye enu tɔhɛ si le vevie le esrɔ ɖeɖe ƒe kɔnuwo me.
","To say it shortly, this is the way how the boy’s family ask about marriage to the girl’s family."
57,"Le kɔnu sia wɔwɔ me la ƒome eveawo dzenasi wonɔɛ wo nyui eye wo danasi ɖe esrɔ ɖeɖe ƒe kɔnuawo dzi.
",In this period the two families try to know each other very well and try to accept each other in sense of allowing the marriage between their children and such period is very important for the whole ceremony.
58,"Elebe mia dedzesi alesi gbɔme dedea vayina ɖo :
","We generally call this period ""knock the door "" and will now see his explanation:"
59,"Ametsãtsã tso na ŋtsuvi la ƒe ƒomea me (ŋtsuvila ƒe atagã alo atavi) yina ɖe nyɔnuvi la ƒe ƒomea gbɔ edzi edzi la le fɔfɔ me eye wo ƒoa ʋɔ na nyɔnuvi la ƒe ƒomea eye wo gena ɖe ƒome la ƒe hɔme he doa gbe, eye nyɔnuvi la ƒe ƒomea edzi edzi la nyɔnuvi la ƒe atagã alo atavi hɔna gbe eye biana amaniɛ.
",A chosen people from the boy’s family (generally the uncles of the boy) will go according to the ceremony earlier in the morning to nock to the door of the girl’s family (generally the uncles of the girl) and this people will receive them and ask about the matter.
60,"Emayi la wo gblɔna na nyɔnuvi la ƒe atagã alo atavi la be yewo dzibe yewoa ɖe wo ƒe vi nyɔnuvi (eye wo yona nyɔnuvi la ƒe ŋko), eye wo tsona aha sɛsɛ atukpã ametɔ (ekuɖe ƒome ɖesiaɖe ƒe dzedze ŋu).
",The boy’s uncles simply reply to the girl’s uncle that they would like to get married with one of their girl (and of course they give the name of the girl) and they give three bottle of alcohol (it depends on every family how much they think is enough).
61,"Le emayi la Atagã alo atavi si hɔ neneŋ ƒe aha la doa ŋgbe na ɖevi ŋtsuvi la ƒe ƒomea be yeayi ɖa kpɔ nyɔnuvi la ƒe tɔ eye yana nyanya wo kuɖe nyɔnuvi la ƒe tɔ ƒe ɖoɖo ŋti.
","Then the uncle of the girl will let the boy’s uncles know that he will report their intention to the girl’s father and will send then information or propose them another day to come for the answer, it depends."
62,"Emegbe la ɖevi ŋtsuvi la ƒe ƒomea bia na mɔ eye wo gbugbɔ yina ɖe aƒeme he bɔna amania na ŋtsuvila ƒe tɔ.
",And then the boy’s uncles ask for leaving and go back home to report it to the father of the boy.
63,"Amesiwo ƒo ʋɔ vayi sã la ga trɔ yina he hɔna ɖoŋti tso nyɔnuvia ƒe tɔ gbɔ (alo nyɔnuvia ƒe atagã alo atavi si hɔ ŋtsuvi la ƒe ƒomeawo vayi la dɔna ame ɖoɖa na ŋtsuvi la ƒe ƒometɔwo kuɖe ɖevi tɔ ƒe lɔlɔ alo gbegbe ŋti.
",The same people from the boy’s family will return again to get the answer from the father of the girl (but sometimes the uncle of the girl can send previously the answer to the boy’s uncles if it is yes or no).
64,"Ne eva eme be nyɔnuvia ƒe tɔ dasiɖe evia ƒe srɔ ɖeɖe dzila, Ametsãtsã tso ŋtsuvi la ƒe ƒomeame ga gbugbɔ trɔ yina nyɔnuvila ƒe atagã alo atavi gbɔ he sena enusiwo woadi va hena nyɔnuvila ƒe ɖeɖe.
","If it is happen that the girl’s father says yes, the same people from the boy’s family return back again to hear about their duties concerning the marriage of the girl and their son."
65,"Enusiwo woa heva la vayi na ale : aha (aha vivi, aha sɛsɛ, todzi ha, deha kple bubuwo… kple wo ƒe home neni), avɔ ɖaka (tsigãvɔ, holãdvɔ, tsivivɔ, keŋte, sika gavi kple awle, dzonu kle bubuwo…), ega (nyɔnuvi la ƒe ƒomea nana kpɔɖeŋ, akpaɖe yina na nyɔnuvia ƒe tɔ eye akpaɖe yina na nyɔnuvia hã) kple susu be nyɔnuvia megaɖu aya o, edze (ekuɖe ƒome ɖesiaɖeŋ), kple enu bubu wo sɔŋ……
","An example of their duties; drinks (soft drinks, alcohols for example local one like SOƉABI or from abroad like gins, palm wine etc…), cloth (like special home cloth for example loin cloth, wax Hollanders etc.. with some specific quantities, jewelry and so on), money (the girl’s family gives some specific amount, the minimum, some part goes to the family and another part goes to the girl in intention that the girl can start doing business with this money and be safe from hunger), salt (it depend on each family, the will spend this salt in the family and close relation to let them know that their girl get married), and many other things….."
66,"Ne ŋtsuvila ƒe ƒomea ƒle enusiawo kãtã vɔ la, wo dɔna amedɔdɔ ɖoɖa nyɔnuvi la ƒe ƒomea eye wo ɖona ŋkeke si dzi woava ahe enuawo vɛ, eye woa wo nyɔnuvila ƒe ɖeɖe ƒe kɔnuwo.
","When the boy’s family is ready (means they buy every think), they will send information to the girl’s family that they would like to come and fulfill their duties to get into the marriage ceremony."
67,"Elebe mia do dzesi be le eyiyi siawo kãtã mela, le tsã hoho ƒe game la, ŋtsuvila kple nyɔnuvila menya na wonɔɛwo o, wɔ gaɖome la ameaɖewo fina tofi na ŋtsuvila alo nyɔnuvila, eya nyena wodada eye woateŋ ahe tona nɛnɛŋ ƒe amewo ne wo dzesi wo.
","We have to notice that in the pass the lovers do not know each other during this period of consultation, but sometimes some people let the boy or the girl know about the information and this bad intention and those people can be punished if their recognized by the families involve in the ceremony."
68,"Esrɔ ɖeɖe nye enu tohɛ aɖe le blema me ale be evi ƒomea ye tsana ŋgbetɔ srɔ na wo ƒe vi, kple susu be wo ƒe vi mega kpefu le esrɔ ɖeɖe gome wo.
",Why that simply because the girl or the boy can run away from their family if they don’t want get married.
69,"Ne ŋkeke dzi va ɖo la, ŋtsuvila ƒe ƒomea kplɔna ɖekakpuila ɖe asi he tsɔna enusiwo wo ƒle hena srɔ ɖeɖe ƒe kɔnuawo la ɖe asi heyina ɖe ɖetugbuila ƒe ƒomea gbɔɛ.
",Marriage was very important in the pass according to Eʋe tradition in sense that it is the family that chooses the partner for their son or daughter in fear that the boy or girl will not suffer or have difficult life.
70,"Afima ye ɖekakpuila kple ɖetugbuila dzenasi wonɔɛwo le abe ŋgbetɔ srɔ.
",It will be the time when the lovers will officially discover their partner for life.
71,"Kɔnuawo vayina ale ; nuƒo tɔhɛ tso ƒome eveawo me kple yrayrawo, kple dzidzɔ kpɔkpɔwo, kple enunonowo, kple eʋu ƒoƒowo, ewoe ɖuɖuwo kpakple vividodoɖe srɔɖelawo ŋti vayi edzi nyuie.
","The ceremony goes as follow: some special speech come from the both family with happiness, with drinking times, with the sound of drams, with special dancing times with appreciation of the couple and so on…"
72,"Elebe mia ɖo ŋku edzibe, gaɖewo mela, ɖekakpuila kple ɖetugbuila me teŋ doa dzidzɔ ɖe wonoɛ wo ŋti o, elabena menye wo dzidzi be yewoa ɖe amesi wotsã na yewo la o, vɔa womateŋ awɔ naɖeke si ƒomea medasiɖo o.
","Here we have to know that sometimes it is difficult for the couple to enjoy this time because it happen that they do not like each other, but nevertheless, they have to show that their happy because of their parents."
73,"Le kɔnuawo ƒe dziyiyi me la, ɖetugbuila ƒe tɔ lena ɖetugbuila ƒe alɔ he dena ɖekakpuila ƒe ƒomea si tɔhɛɖe he gblɔna be, me tsɔ nye ɖetugbuila de asina mi, mialebenɛ nyui eye mia kpɔ etadzi nyui bena mega ɖu aya o, alo mego kpefu o, eye wo gblɔna be ɛ mia lebenɛ eye mia kpɔ etadzi nyui.
","When the ceremony is still on, the girl’s father takes her hand and gives her to the boy’s family and says for example, I give you my daughter; you have to take care of her that she will never suffer from hunger or will not have difficult life and they will say yes we will take care of her and give her better life."
74,"Le enuwuwu la, ɖekakpuila ƒe ƒomea kplɔna ɖetugbuila yina ɖe woɖokui wogbɔ he tsɔɛ dasina ɖekakpuila.
",And at the end the boy’s family come home with the girl and gives her to the boy.
75,"Esrɔɖeɖe ƒe kɔnu sia nye kɔnu si amewo lebena nyuie le blemame, wɔa gake le egbeƒe ŋkekea wo mela, amewo mega dena bubu neneŋ ƒe kɔnuwo nu o.
",(About the virginity of the girl is very important from the boy’s family but nevertheless I am not going deeply about this fact here).
76,"Amewo le srɔɖem le egbeƒe ŋkekea wo me le mɔdododzi, le ʋuƒoƒewo, le esetɔwogbɔ, le tsɔtsihɔme kple afi bubuwo sike evi ƒomea mega nyena amesi tsãna ŋgbetɔsrɔ o, keboŋ ɖe efu domoɖa la, hafi wonyana.
","People take care of this marriage ceremony in pass, but these days’ people do not respect this marriage ceremony."
77,"Wɔa, ameaɖeo gakpɔtɔ le neneŋ ƒe blema kɔnuwo meɖe asi, eye wonɔ edzi yim nenema, amedzro aɖeo hã vana va wɔna esrɔ ɖeɖe le Eʋeawo ƒe dekɔnu wonu he gblɔna be enye enu tɔhɛ na yewo eye wo trɔ dzona.
","People taking these days marriage everywhere without parents acceptance, people meet each other on road, in pub, dram music places decide about marriage without parents intervention, taking marriage only with regard with the law, in church and other places."
78,"Mekã alesi ŋgbetɔsrɔawo kpɔ wonɔɛ woɖo alo afisi wowɔ srɔɖeɖe ƒe kɔnuwo le o, elebe ɖekakpuila na nya ɖetugbuila ƒe ƒomea eye woa degbɔme na ɖetugbuila hena eƒeta biabia le eƒe ƒomea gbɔ, ele vevie.
","But we must notice that a lot of people still in respect with ancient time marriage ceremonies, and some foreign people come sometimes specially in taking part in this traditional marriage and go back to their country because the fill special after all."
79,"Ne ɖekakpuila mewɔ eta biabia kɔnuawo o la, ne eva dzɔ be ɖetugbuila ƒe ƒomea ƒe ameɖeku alo ɖetugbuila kula, elenebe woawɔ eta biabia kɔnuawo hafi woaɖemɔnɛ be woakpɔ amekukula alo woageɖe ɖetugbuila ƒe ƒomea me le seanu.
","No matter where the lovers find themselves or where they get married, the boy must find out the girl’s family and fulfill his duties about traditional married, it is very important in Eʋe tradition."
80,"Tɔgbe nye ŋkɔ enye AFOUTOU Kodjovi Akpan, enye ame dzɛ aɖe si tso Tado, teƒe si le ɣedzepe godzi eye wo nye ame dzesi aɖe le Tado-Domé.
","If not, and it happens that the member of the girl’s family died or the girl’s herself died, before this boy will be receive officially by his step-family he has to fulfill this marriage ceremony entirely according to the tradition and it complicated because he has to fulfill more duties."
81,"Kpui ɖe ko la, enye vodu nɔ gã aɖe tsã vayi, si ɖo vodu hapopo si wɔa kɔnu vovovowo eye dukɔa kãtã nyɛ nɛ.
","The name of my grandfather is Kodjovi Akpa Afoutou, with clear complexion skin; he is a known person from Tado-Domé which located at the East-South side of the country."
82,"Eda gbe le ame ŋti eye wo poanu kuɖe amegbetɔ ƒe kuɣɛwo ŋti alo eƒe esɔme ŋti alo eƒe vivime ŋti.
","Shortly, he was animist and had a group of people who worship ""Vodu "" and who can cure disease, speak about people problem and can read things in future."
83,"Ekpa eha vovovowo ɣe doa eƒe vodu la ƒe ŋkɔ ɖedzi eye le woƒe kɔnu wɔwɔ eyiyi hã.
",He has composed many songs to glorify « Vodu » and as well during ceremonies for the same purpose.
84,"Enɔ esia dzi vasɛɖe esime wo trɔ dzime zu Katoliko hɔsetɔ vãvã.
",He had been doing this till he seriously converted into Catholicism.
85,"Etrɔ dzime alegbegbe be egbe nu le abosãŋ kple eƒe nuwɔna vovovowo gbɔ.
",He was truly converted that he finished everything with Satan and its duties.
86,"Ekpa eha geɖe na Mawu ƒe ŋkɔ dodoɖedzi eye amewo dzina neneŋ ƒe eha wo le tsotsi hɔ alo gbedohɔ me ɣena vivi dodoɖe subɔ subɔ ɖe Mawu ŋti.
",He started compose songs for worshiping God and those song were sung in Church by people to glorify God during the celebration of Mass.
